gisaid_epi_isl,strain,date,host
EPI_ISL_632437,mink/Netherlands/NB-EMC-62-5/2020,2020-10-05,Mink
EPI_ISL_3053891,France/PAC-IHU-16245-Nova1M/2021,2020-04-01,Human
EPI_ISL_467608,USA/NM-UNM-00027/2020,2020-03-15,Human
EPI_ISL_1912829,USA/NJ-NYGC-S-OM-5214-DDRS911/2021,2021-02-08,Human
EPI_ISL_427322,Russia/StPetersburg-RII4655S/2020,2020-04-05,Human
EPI_ISL_2796883,USA/CA-CDPH-2000032913/2021,2021-01-26,Human
EPI_ISL_484153,England/GSTT-265E0F8/2020,2020-03-31,Human
EPI_ISL_8194885,Egypt/NRC-6376/2020,2020-07-26,Human
EPI_ISL_1457902,USA/CA-CDC-FG-010237/2021,2021-03-08,Human
EPI_ISL_889796,USA/LA-EVTL1824/2021,2021-01-19,Human
EPI_ISL_7617588,Canada/QC-1nDJXQ-2008201016A/2020,2020-03-22,Human
EPI_ISL_2141682,mink/Latvia/2104/2021,2021-04-12,Mink
EPI_ISL_3653743,Turkey/HSGM-D21554/2021,2021-08-20,Human
EPI_ISL_6261983,lion/SouthAfrica/ZARV-ZRU125/2021,2021-06-22,Panthera leo
EPI_ISL_1134661,USA/PA-CDC-STM-000013410/2021,2021-02-10,Human
EPI_ISL_1379287,USA/NJ-S-OM-2437-BGRT244/2021,2021-02-01,Human
EPI_ISL_8783193,Poland/5203.01/2022,2022-01-16,Human
EPI_ISL_8691511,USA/MA-CDCBI-CRSP_SCXKHWDVIO3YYABM/2022,2022-01-03,Human
EPI_ISL_8517925,Latvia/5084/2021,2021-06-11,Human
EPI_ISL_2798081,USA/CA-CDPH-2000036173/2021,2021-02-02,Human
EPI_ISL_584478,England/CWAR-24FDAE0/2020,2020-05-03,Human
EPI_ISL_5087124,USA/TX-HMH-MCoV-46385/2020,2020-07-23,Human
EPI_ISL_425715,Scotland/CVR175/2020,2020-03-17,Human
EPI_ISL_979772,USA/CA-CZB-19178/2020,2020-12-08,Human
EPI_ISL_1159505,USA/IL-CDC-QDX22026965/2021,2021-02-12,Human
EPI_ISL_467545,USA/NM-UNM-00100/2020,2020-04-01,Human
EPI_ISL_6123998,tiger/USA/NE-TIGER_NCOV21-40166/2021,2021-11-06,Panthera tigris
EPI_ISL_3355985,India/UP-CWS-0482_51413308/2021,2021-05,Human
EPI_ISL_3473611,India/MH-ICMR-MCL_5731_5787/2020,2020-11,Human
EPI_ISL_8721616,Brazil/SP-IB_146689/2021,2021-12-30,Human
EPI_ISL_2243669,USA/AL-CDC-ASC210004274/2021,2021-03-12,Human
EPI_ISL_483063,cat/France/Env-Ba/2020,2020-05-14,Felis catus
EPI_ISL_1132316,USA/FL-BPHL-0544/2021,2021-02-05,Human
EPI_ISL_1254049,USA/PA-CDC-QDX22446263/2021,2021-02-22,Human
EPI_ISL_641472,mink/Denmark/mDK-80/2020,2020-09-09,Mink
EPI_ISL_1228044,USA/NY-Wadsworth-21023322-01/2021,2021-02-09,Human
EPI_ISL_3943831,USA/CO-CDPHE-2010062220/2020,2020-10-05,Human
EPI_ISL_984021,USA/WI-WSLH-210132/2021,2021-01-07,Human
EPI_ISL_2987778,Turkey/HSGM-B18370/2021,2021-06-23,Human
EPI_ISL_3653643,Turkey/HSGM-D21021/2021,2021-08-20,Human
EPI_ISL_3039352,Slovenia/296418/2021,2021-06-21,Human
EPI_ISL_2021012,USA/WY-WYPHL20130815/2021,2021-04-03,Human
EPI_ISL_1159333,USA/FL-CDC-QDX22120988/2021,2021-02-17,Human
EPI_ISL_1292141,USA/AZ-TG758700/2020,2020-11-17,Human
EPI_ISL_5442872,USA/CA-CDPH-2000015408/2020,2020-12-16,Human
EPI_ISL_2838966,USA/OR-OHSU-7323/2020,2020-12-07,Human
EPI_ISL_3353658,USA/CA-CDC-2-3829523/2021,2021-01-13,Human
EPI_ISL_412976,bat/Yunnan/RmYN01/2019,2019-06-25,Rhinolophus malayanus
EPI_ISL_3358574,Lithuania/S21G209/2021,2021-07-12,Human
EPI_ISL_5517728,USA/IL-IDPH-STE-S-000605/2020,2020-05-09,Human
EPI_ISL_8735661,England/ALDP-31ABB0C/2022,2022-01-06,Human
EPI_ISL_826134,Canada/Qc-JEW-Q9072540/2020,2020-05-07,Human
EPI_ISL_2293787,Canada/Qc-HCLM-7051651399/2021,2021-02-03,Human
EPI_ISL_887772,USA/MD-CDC-LC00000453/2020,2020-12-27,Human
EPI_ISL_2734465,England/EKHU-260F4EB/2020,2020-10-01,Human
EPI_ISL_1265354,mink/Netherlands/NB06_13KS/2020,2020-05-30,Mink
EPI_ISL_4377214,USA/IN-CDC-LC0033336/2021,2021-03-19,Human
EPI_ISL_471242,USA/WI-WSLH-200077/2020,2020-04-21,Human
EPI_ISL_1362892,USA/MO-MSPHL-000350/2020,2020-11-30,Human
EPI_ISL_446041,Wales/PHWC-2DF3D/2020,2020-04-10,Human
EPI_ISL_2727489,USA/OR-OSPHL01060/2020,2020-06-16,Human
EPI_ISL_2746031,England/PHEC-31F487/2021,2021,Human
EPI_ISL_802477,USA/NY-Wadsworth-21001291-01/2020,2020-12-30,Human
EPI_ISL_1064211,USA/NM-UNM-01852/2021,2021-01-15,Human
EPI_ISL_2382009,USA/OH-ODH-SC041740/2020,2020-06-03,Human
EPI_ISL_1090916,USA/FL-CDC-QDX21871823/2021,2021-02-08,Human
EPI_ISL_522352,USA/TX-DSHS-0066/2020,2020-05-09,Human
EPI_ISL_8420533,Slovenia/17-125837-CE/2021,2021-12-13,Human
EPI_ISL_1315075,cat/USA/TX-TAMU-21-005988-005-467/2021,2021-02-12,Felis catus
EPI_ISL_9637777,USA/MT-UMGC-01669/2020,2020-10-02,Human
EPI_ISL_480690,Australia/VIC1985/2020,2020-06-12,Human
EPI_ISL_6602337,USA/CO-CDPHE-2006061006/2020,2020-06-05,Human
EPI_ISL_2264417,USA/TX-DSHS-000504/2020,2020-03-19,Human
EPI_ISL_5930486,USA/CO-CDPHE-2009184109/2020,2020-09-18,Human
EPI_ISL_1740403,Canada/ON-SC5379/2021,2021-02-11,Human
EPI_ISL_6602372,USA/CO-CDPHE-2006111219/2020,2020-06-10,Human
EPI_ISL_763335,USA/FL-BPHL-2252/2020,2020-11-24,Human
EPI_ISL_544039,USA/TX-HMH-3163/2020,2020-06-10,Human
EPI_ISL_8527873,Senegal/6600410/2021,2021-03-18,Human
EPI_ISL_523094,mink/Netherlands/NB-EMC-3-5/2020,2020-05-06,Mink
EPI_ISL_988443,England/CAMC-11E3AA7/2021,2021-02-01,Human
EPI_ISL_423555,England/20144066304/2020,2020-03-31,Human
EPI_ISL_2141681,mink/Latvia/2103/2021,2021-04-12,Mink
EPI_ISL_445015,USA/FL-BPHL-0072/2020,2020-04-20,Human
EPI_ISL_553778,Wales/ALDP-95415C/2020,2020-06-12,Human
EPI_ISL_2594717,USA/WY-WYPHL-20136112/2020,2020-11-13,Human
EPI_ISL_6331922,France/PAC-IHU-37981-Nova1M/2020,2020-04,Human
EPI_ISL_1732387,USA/PA-MGEL-01834/2021,2021-01-27,Human
EPI_ISL_566036,lion/USA/NY-2-041520/2020,2020-04-04,Panthera leo
EPI_ISL_448254,England/NORW-E896D/2020,2020-04-11,Human
EPI_ISL_8326304,USA/AZ-TG668410/2020,2020-04-20,Human
EPI_ISL_1338788,USA/NC-CDC-LC0025424/2021,2021-03-08,Human
EPI_ISL_1448340,USA/WA-UW-67382/2021,2021-03-13,Human
EPI_ISL_8818530,USA/MD-HP24636-PIDVNOGSUN/2022,2022-01-17,Human
EPI_ISL_5345955,USA/TX-HMH-MCoV-58340/2021,2021-08-24,Human
EPI_ISL_470028,NorthernIreland/NIRE-FC368/2020,2020-04-12,Human
EPI_ISL_2603846,USA/KS-KHEL-2507/2020,2020-07-17,Human
EPI_ISL_2826480,USA/CA-CDPH-2000037452/2021,2021-02-11,Human
EPI_ISL_417331,USA/CA-CDPH-UC27/2020,2020-03-13,Human
EPI_ISL_2778950,USA/CA-CDPH-2000046592/2021,2021-04-29,Human
EPI_ISL_1305938,USA/MD-HP03371/2021,2021-03-18,Human
EPI_ISL_2403526,Turkey/HSGM-B2478/2021,2021-03-30,Human
EPI_ISL_636482,France/ARA-36389/2020,2020-05-11,Human
EPI_ISL_1707712,France/GES-HMN-21032170726/2021,2021-03-15,Human
EPI_ISL_1602631,Sweden/SE00326921/2021,2021-03-04,Human
EPI_ISL_879072,Wales/ALDP-1037234/2021,2021-01-16,Human
EPI_ISL_942855,USA/WI-GMF-50130/2021,2021-01-18,Human
EPI_ISL_450854,USA/FL-BPHL-0120/2020,2020-04-08,Human
EPI_ISL_7098994,Japan/PG-165752/2021,2021-10-16,Human
EPI_ISL_8788170,Poland/12903.01/2022,2022-01-16,Human
EPI_ISL_4955857,cat/USA/CT-21-002728-001/2021,2021-01-23,Felis catus
EPI_ISL_6368595,India/TG-CCMB-CIB1105/2020,2020-10-21,Human
EPI_ISL_738016,Uganda/UG109/2020,2020-08-14,Human
EPI_ISL_2341189,USA/CA-TCPHL-032921-17/2021,2021-01-17,Human
EPI_ISL_1303228,USA/SC-DHEC-0105/2021,2021-01-27,Human
EPI_ISL_468051,Egypt/CUNCI-HGC012/2020,2020-05-02,Human
EPI_ISL_536299,Canada/Qc-LSPQ-L00241959/2020,2020-03-28,Human
EPI_ISL_6332050,France/PAC-IHU-38127-Nova1M/2020,2020-04,Human
EPI_ISL_1437719,Germany/BY-RKI-I-054159/2021,2021-03-19,Human
EPI_ISL_1570077,Germany/un-RKI-I-064793/2021,2021-03-11,Human
EPI_ISL_3413133,Turkey/HSGM-FS3724/2021,2021-08-07,Human
EPI_ISL_3459236,USA/PA-M20152952/2020,2020-12-03,Human
EPI_ISL_1319078,USA/KY-CDC-LC0021309/2021,2021-02-25,Human
EPI_ISL_545160,USA/TX-HMH-2171/2020,2020-05-20,Human
EPI_ISL_1093929,USA/CA-UCSF-JD127/2021,2021-01-19,Human
EPI_ISL_754567,USA/NY-Wadsworth-286251-01/2020,2020,Human
EPI_ISL_955539,USA/CA-CZB-17368/2020,2020-12-01,Human
EPI_ISL_2739147,England/PHEC-2FBE2A/2020,2020,Human
EPI_ISL_436573,USA/WI-UW-279/2020,2020-04-03,Human
EPI_ISL_5443430,USA/CA-CDPH-2000014410/2020,2020-12-14,Human
EPI_ISL_8294146,Portugal/PT24150/2021,2021-12-21,Human
EPI_ISL_554171,England/ALDP-950EFF/2020,2020-06-13,Human
EPI_ISL_8789395,France/CVL-IPP53157/2021,2021-12-27,Human
EPI_ISL_979755,USA/CA-CZB-19161/2020,2020-12-06,Human
EPI_ISL_523064,mink/Netherlands/NB-EMC-21-14/2020,2020-07-09,Mink
EPI_ISL_4207259,Nepal/NPHLS-167/2021,2021-06-16,Human
EPI_ISL_672745,Brazil/SP-L27-CD578/2020,2020-04-24,Human
EPI_ISL_673500,England/CAMC-B99E25/2020,2020-11-15,Human
EPI_ISL_1500775,USA/AZ-TG796472/2020,2020-10-16,Human
EPI_ISL_1076486,USA/TX-HMH-MCoV-21960/2021,2021-01-05,Human
EPI_ISL_904355,mink/Netherlands/NB-EMC-53-30/2020,2020,Mink
EPI_ISL_5442935,USA/CA-CDPH-2000015573/2020,2020-12-15,Human
EPI_ISL_2803430,Zambia/ZMB-44843/2020,2020-08-20,Human
EPI_ISL_7671120,USA/CA-CDC-FG-187440/2021,2021-12-07,Human
EPI_ISL_2843714,France/PAC-IHU-14805-Nova1M/2021,2020-05-02,Human
EPI_ISL_854063,Austria/CeMM1632/2020,2020,Human
EPI_ISL_3374076,tiger/USA/CA-ALSR-105425/2021,2021-08-01,Panthera tigris
EPI_ISL_1273064,Guam/GU-CDC-2-3906182/2021,2021-01-29,Human
EPI_ISL_1482498,USA/WY-WPHL-20164718/2020,2020-12-12,Human
EPI_ISL_7856649,USA/CA-CDPH-2000011312/2020,2020-12-12,Human
EPI_ISL_7690907,Canada/QC-1nIUFQ-Q4290340GP/2020,2020-12-29,Human
EPI_ISL_2969290,USA/CA-CDPH-2000018355/2021,2021-01-12,Human
EPI_ISL_1196047,USA/MD-IGS-012036606862A/2020,2020-12-31,Human
EPI_ISL_1024999,Denmark/DCGC-44621/2021,2021-01-25,Human
EPI_ISL_2709007,Netherlands/FR-UMCG-MMB_2080/2020,2020-04-27,Human
EPI_ISL_577824,mink/Netherlands/NB-EMC-52-3/2020,2020-09-15,Mink
EPI_ISL_561283,Gambia/NPHL-2615/2020,2020-08-18,Human
EPI_ISL_3657115,USA/FL-Shands-VTM-1833/2021,2021-06,Human
EPI_ISL_7266218,India/KL-GENESCOV00136/2020,2020,Human
EPI_ISL_754492,USA/NY-Wadsworth-280102-01/2020,2020-11-25,Human
EPI_ISL_2612286,USA/KS-KHEL-2532/2020,2020-07-16,Human
EPI_ISL_1221329,USA/NM-CDC-LC0019229/2021,2021-02-17,Human
EPI_ISL_925340,mink/USA/MI-CDC-3886725-001/2020,2020-10-16,Mink
EPI_ISL_5441069,USA/CO-CDPHE-2007172627/2020,2020-07-13,Human
EPI_ISL_5968566,Curacao/CW-RIVM-67106/2021,2021-10-18,Human
EPI_ISL_540362,Scotland/QEUH-98F404/2020,2020-08-29,Human
EPI_ISL_984054,USA/WI-WSLH-210166/2021,2021-01-11,Human
EPI_ISL_2161632,USA/NY-NYULH1649/2020,2020-12-03,Human
EPI_ISL_1303349,USA/SC-DHEC-0369/2021,2021-02-10,Human
EPI_ISL_6860011,Israel/SMC-7021834/2021,2021-11-03,Human
EPI_ISL_683090,mink/Denmark/mDK-241/2020,2020-10-30,Mink
EPI_ISL_534226,Sweden/20-08934/2020,2020-07-14,Human
EPI_ISL_825876,Canada/Qc-JEW-Q8210901/2020,2020-04-21,Human
EPI_ISL_574375,USA/LA-EVTL241/2020,2020-08-22,Human
EPI_ISL_2923900,USA/NY-PRL-2021_0702_52P11/2020,2020-10-19,Human
EPI_ISL_2141761,mink/Latvia/2184/2021,2021-04-14,Mink
EPI_ISL_1093943,USA/CA-UCSF-JD151/2021,2021-01-17,Human
EPI_ISL_515412,USA/NV-NSPHL-A0147/2020,2020-05-03,Human
EPI_ISL_1912980,USA/TN-UT2029/2021,2021-02-09,Human
EPI_ISL_6088051,lion/USA/CO-21-031946-011/2021,2021-10-14,Panthera leo
EPI_ISL_3316058,USA/CA-CDPH-2000017204/2021,2021-01-06,Human
EPI_ISL_7220672,India/KL-GENESCOV02950/2021,2021-03-28,Human
EPI_ISL_979763,USA/CA-CZB-19169/2020,2020-12-07,Human
EPI_ISL_2712799,USA/CA-SEARCH-102737/2021,2021-01-06,Human
EPI_ISL_511028,Portugal/PT0769a/2020,2020-04-01,Human
EPI_ISL_830685,USA/NY-Wadsworth-21004283-01/2021,2021-01-01,Human
EPI_ISL_683244,mink/Denmark/mDK-498/2020,2020-10-21,Mink
EPI_ISL_8591263,USA/ME-HETL-J11060/2021,2021-01-11,Human
EPI_ISL_6329887,France/PAC-IHU-39764_Nova1/2020,2020-05,Human
EPI_ISL_4847032,deer/USA/OH-OSU-0141/2021,2021-02-16,Odocoileus virginianus
EPI_ISL_566062,England/202890228/2020,2020-07-10,Human
EPI_ISL_1048622,USA/ME-HETL-J1514/2020,2020-06-04,Human
EPI_ISL_799845,England/MILK-D1AC8A/2020,2020-12-21,Human
EPI_ISL_683083,mink/Denmark/mDK-233/2020,2020-11-02,Mink
EPI_ISL_577801,mink/Netherlands/NB-EMC-44-7/2020,2020-09-02,Mink
EPI_ISL_6602415,USA/CO-CDPHE-2006130659/2020,2020-06-11,Human
EPI_ISL_2609493,Angola/CERI-KRISPK013115/2021,2021-03-17,Human
EPI_ISL_755494,USA/ME-HETL-J0373/2020,2020-12-10,Human
EPI_ISL_1014967,mink/USA/WI-CDC-3892849-001/2020,2020-10-15,Mink
EPI_ISL_4878204,USA/NV-NSPHL-NV2050489/2021,2021-04-29,Human
EPI_ISL_1966025,USA/NY-CUIMC-NP-4248/2021,2021-01-05,Human
EPI_ISL_2325137,USA/AZ-ASPHL-2412/2020,2020-08-03,Human
EPI_ISL_2991119,USA/FL-Path-Saliva-596/2021,2021-01,Human
EPI_ISL_671984,Ecuador/UEES-3911/2020,2020,Human
EPI_ISL_1401560,USA/ME-JAX-JAX000446/2021,2021-03-17,Human
EPI_ISL_5071139,Colombia/TOL-INS-HUMB-VG-7868/2021,2021-08-05,Human
EPI_ISL_429771,Luxembourg/LNS3187147/2020,2020-03-23,Human
EPI_ISL_2988038,Turkey/HSGM-B18486/2021,2021-06-28,Human
EPI_ISL_8673588,Netherlands/ZH-LUMC-1476/2022,2022-01-03,Human
EPI_ISL_1030759,USA/MD-CDC-LC0010266/2021,2021-01-25,Human
EPI_ISL_903819,USA/SC-CDC-2-4122402/2021,2021-01-02,Human
EPI_ISL_475103,Sweden/20-08359/2020,2020-03-24,Human
EPI_ISL_1038168,USA/MO-CDC-LC0012917/2021,2021-02-01,Human
EPI_ISL_1111312,Peru/LIM-INS-414/2020,2020-11-30,Human
EPI_ISL_1340140,USA/PA-CDC-STM-000029411/2021,2021-03-03,Human
EPI_ISL_3256754,Turkey/HSGM-GF1624/2021,2021-07-12,Human
EPI_ISL_2958981,cat/USA/FL-21-003328-001/2021,2021-01-26,Felis catus
EPI_ISL_578750,USA/LA-EVTL344/2020,2020-05-25,Human
EPI_ISL_2896208,mink/USA/UT-20-023279-002/2020,2020-08-14,Mink
EPI_ISL_1299407,Ireland/WH-NVRL-21IRL58720/2021,2021-03-02,Human
EPI_ISL_4961102,USA/CA-CDC-FG-010326/2021,2021-03-17,Human
EPI_ISL_5804765,deer/USA/IA-200442/2021,2021-01-09,Odocoileus virginianus
EPI_ISL_1481643,USA/FL-CDC-FG-014085/2021,2021-03-12,Human
EPI_ISL_437128,USA/MI-MDHHS-SC20041/2020,2020-03-19,Human
EPI_ISL_6425269,deer/USA/IA-207253/2020,2020-11-30,Odocoileus virginianus
EPI_ISL_2734461,England/EKHU-260F481/2020,2020-10-01,Human
EPI_ISL_5517977,USA/TX-CDC-ASC210333717/2021,2021-09-22,Human
EPI_ISL_1362726,USA/MO-MSPHL-000177/2020,2020-08-31,Human
EPI_ISL_578539,USA/WI-WSLH-200370/2020,2020-04-22,Human
EPI_ISL_1301181,USA/NY-MSHSPSP-PV25279/2021,2021-01-07,Human
EPI_ISL_6372378,France/PAC-IHU-42171_Nova1/2020,2020-03,Human
EPI_ISL_775999,Germany/HH-hpi-p1491/2020,2020-03-11,Human
EPI_ISL_491082,Romania/ROSV_5000/2020,2020-04-27,Human
EPI_ISL_8269500,England/PHEC-3X033X5C/2021,2021,Human
EPI_ISL_584726,England/NORW-EFEA3/2020,2020-10-03,Human
EPI_ISL_7156114,USA/SC-REDDI-E1733C0D5PY/2021,2021-01-20,Human
EPI_ISL_1221286,USA/VA-CDC-LC0020665/2021,2021-02-24,Human
EPI_ISL_2556702,India/RJ-NCDC-1809180/2020,2020-09-09,Human
EPI_ISL_622776,NewZealand/20CV0463/2020,2020-10-20,Human
EPI_ISL_688694,Japan/PG-5569/2020,2020-08-11,Human
EPI_ISL_2195382,USA/WV-WVU-WV002755/2021,2021-01-07,Human
EPI_ISL_6602731,USA/MT-WL-P104/2020,2020-10-15,Human
EPI_ISL_692987,USA/MA-MASPHL-00644/2020,2020-05-14,Human
EPI_ISL_5713180,USA/CA-CDPH-2000001088/2020,2020-11-30,Human
EPI_ISL_754952,USA/CA-CDPH156/2020,2020-09-30,Human
EPI_ISL_2223976,USA/TX-HMH-MCoV-40792/2020,2020-07-22,Human
EPI_ISL_739126,USA/CA-CZB-14854/2020,2020-11-20,Human
EPI_ISL_1139633,USA/FL-CDC-QDX22062505/2021,2021-02-15,Human
EPI_ISL_2203106,USA/TX-HMH-MCoV-34234/2020,2020-12-29,Human
EPI_ISL_2243931,USA/NY-CDC-ASC210003548/2021,2021-03-10,Human
EPI_ISL_4030270,Poland/Gyncentrum0554/2021,2021-07-30,Human
EPI_ISL_1363435,USA/AZ-TG768097/2020,2020-11-04,Human
EPI_ISL_1514501,USA/VA-CDC-LC0033398/2021,2021-03-18,Human
EPI_ISL_792514,Argentina/PAIS-E0022/2020,2020-05-29,Human
EPI_ISL_485853,USA/VA-DCLS-0552/2020,2020-03-14,Human
EPI_ISL_578938,USA/LA-EVTL534/2020,2020-08-04,Human
EPI_ISL_508991,France/ARA-21154/2020,2020-04-07,Human
EPI_ISL_2141685,mink/Latvia/2107/2021,2021-04-09,Mink
EPI_ISL_1222805,Italy/TAA-IGA-1900504838/2021,2021-02-20,Human
EPI_ISL_419557,USA/GA-CDC-03063103-001/2020,2020-02-29,Human
EPI_ISL_647986,USA/IN-CDC-3778675-001/2020,2020-04-23,Human
EPI_ISL_429537,Denmark/ALAB-SSI450/2020,2020-03-24,Human
EPI_ISL_566043,tiger/USA/NY-P4/2020,2020-04-02,Panthera tigris jacksoni
EPI_ISL_2316000,Germany/NW-RKI-I-161361/2021,2021-02-04,Human
EPI_ISL_888481,USA/NY-CDC-LC00000023/2020,2020-12-23,Human
EPI_ISL_2826397,USA/CA-CDPH-2000037309/2021,2021-02-11,Human
EPI_ISL_1298037,USA/PA-CDC-STM-000027785/2021,2021-03-02,Human
EPI_ISL_1094387,USA/NM-CDC-2-3881118/2021,2021-02-01,Human
EPI_ISL_8619826,mink/Latvia/5346/2021,2021-10-07,Mink
EPI_ISL_950620,England/NOTT-2470CF/2020,2020-11-25,Human
EPI_ISL_5703154,USA/TN-SPHL-0313/2021,2021,Human
EPI_ISL_7855959,USA/CA-CDPH-2000016022/2020,2020-12-17,Human
EPI_ISL_2823702,Canada/QC-1nKGZ-R8092409/2021,2021-02-09,Human
EPI_ISL_931479,USA/WI-MPHL-0082/2020,2020-09-29,Human
EPI_ISL_3101806,USA/CA-CDPH-2000030672/2021,2021-01-19,Human
EPI_ISL_1086337,USA/FL-CDC-QDX21397829/2021,2021-01-24,Human
EPI_ISL_2167558,Canada/ABPHL-09451/2021,2021-03-19,Human
EPI_ISL_1905374,USA/MI-MDHHS-SC26229/2020,2020-03-28,Human
EPI_ISL_766740,USA/TX-DSHS-1969/2020,2020-06-06,Human
EPI_ISL_460762,Netherlands/NA_599/2020,2020-04-18,Human
EPI_ISL_977084,USA/MA-MGH-03599/2020,2020-05-28,Human
EPI_ISL_3134016,USA/CA-CDPH-2000023881/2021,2021-01-13,Human
EPI_ISL_683170,mink/Denmark/mDK-321/2020,2020-11-14,Mink
EPI_ISL_4131028,India/UN-IGIB-041771111/2021,2021,Human
EPI_ISL_604071,USA/MN-QDX-1722/2020,2020-03-16,Human
EPI_ISL_2969403,USA/CA-CDPH-2000021262/2021,2021-01-03,Human
EPI_ISL_721951,Switzerland/ZH-ETHZ-380369/2020,2020-11-22,Human
EPI_ISL_641478,mink/Denmark/mDK-86/2020,2020-09-10,Mink
EPI_ISL_2193786,USA/NJ-NYGC-NJ-BioR-618-swab-QIAseq/2020,2020-11-18,Human
EPI_ISL_1900205,USA/MI-CDC-ASC210046971/2021,2021-04-05,Human
EPI_ISL_2201007,USA/TX-HMH-MCoV-33699/2020,2020-12-30,Human
EPI_ISL_5804772,deer/USA/IA-208105/2020,2020-11-24,Odocoileus virginianus
EPI_ISL_641497,mink/Denmark/mDK-109/2020,2020-08-31,Mink
EPI_ISL_641415,mink/Denmark/mDK-22/2020,2020-10-27,Mink
EPI_ISL_1134028,USA/GA-CDC-STM-000012285/2021,2021-02-10,Human
EPI_ISL_486889,Bahrain/04/2020,2020-06-23,Human
EPI_ISL_888369,USA/MA-CDC-LC00000032/2020,2020-12-23,Human
EPI_ISL_2141900,mink/Latvia/2332/2021,2021-04-28,Mink
EPI_ISL_792335,Argentina/PAIS-A0255/2020,2020-04-25,Human
EPI_ISL_577758,mink/Netherlands/NB-EMC-29-20/2020,2020-08-12,Mink
EPI_ISL_4961987,USA/PA-CDC-STM-000009249/2021,2021-02-04,Human
EPI_ISL_447984,England/CAMB-1AD277/2020,2020,Human
EPI_ISL_942037,USA/WI-WSLH-201709/2020,2020-12-22,Human
EPI_ISL_2821080,lion/India/TN-NIHSAD-21-0019/2021,2021-05-29,Panthera leo
EPI_ISL_3047993,USA/SD-SDPHL-0433/2020,2020-09-01,Human
EPI_ISL_1159305,USA/FL-CDC-QDX22120898/2021,2021-02-17,Human
EPI_ISL_435135,UnitedArabEmirates/L4682/2020,2020-02-25,Human
EPI_ISL_4548649,mink/Latvia/2540/2021,2021-07-01,Mink
EPI_ISL_1482809,USA/SC-MUSC-0448/2020,2020-05-27,Human
EPI_ISL_1895640,Denmark/DCGC-86319/2021,2021-02-22,Human
EPI_ISL_436991,Denmark/ALAB-SSI-608/2020,2020-03-26,Human
EPI_ISL_2734191,England/CAMC-BBD83C/2020,2020,Human
EPI_ISL_2294881,USA/WI-UW-4805/2020,2020-09-22,Human
EPI_ISL_7236401,Kenya/SS4104/2021,2021-10-08,Human
EPI_ISL_1857312,USA/WY-WYPHL20137978/2020,2020-11-16,Human
EPI_ISL_760036,HongKong/VM20123560/2020,2020-09-18,Human
EPI_ISL_424118,England/20129154104/2020,2020-03-12,Human
EPI_ISL_683109,mink/Denmark/mDK-256/2020,2020-11-06,Mink
EPI_ISL_2245810,Guinea/Conakry_IPG4991/2020,2020-06-15,Human
EPI_ISL_5589972,USA/NC-ECU-CORVASEQ-106663062/2021,2021-02-11,Human
EPI_ISL_7780446,Mexico/CMX-INER-IBT-1286/2020,2020-08-20,Human
EPI_ISL_651634,England/BIRM-6A990/2020,2020,Human
EPI_ISL_955502,USA/CA-CZB-17325/2020,2020-11-27,Human
EPI_ISL_1444979,USA/NY-UB-00829/2021,2021-02-10,Human
EPI_ISL_806678,Kenya/C25662/2020,2020-06-27,Human
EPI_ISL_2987736,Turkey/HSGM-B18235/2021,2021-06-23,Human
EPI_ISL_1014949,mink/USA/WI-CDC-3892596-001/2020,2020-10-13,Mink
EPI_ISL_2779547,Kenya/S007/2020,2020-10-20,Human
EPI_ISL_1284007,Indonesia/BT-EIJK168/2021,2021-01-13,Human
EPI_ISL_507561,USA/MI-MDHHS-SC21306/2020,2020-04-02,Human
EPI_ISL_418228,France/HDF-2405/2020,2020-03-12,Human
EPI_ISL_845844,USA/AZ-TG704576/2020,2020-12-29,Human
EPI_ISL_683181,mink/Denmark/mDK-421/2020,2020-10-27,Mink
EPI_ISL_983488,USA/NY-Wadsworth-21015498-01/2021,2021-01-24,Human
EPI_ISL_640102,SouthAfrica/NHLS-UCT-GP-5223/2020,2020-04-29,Human
EPI_ISL_2757556,France/PAC-IHU-13469_Nova1/2020,2020-09-15,Human
EPI_ISL_2232021,Greece/8498/2020,2020,Human
EPI_ISL_636094,USA/CA-ALSR-3581/2020,2020-06-24,Human
EPI_ISL_2775505,USA/WY-WYPHL-20131537/2020,2020-11-11,Human
EPI_ISL_5081916,USA/TX-HMH-MCoV-43827/2020,2020-07-07,Human
EPI_ISL_2363592,Turkey/HSGM-B10109/2021,2021-04-26,Human
EPI_ISL_3315625,Turkey/HSGM-GF13421/2021,2021-07-30,Human
EPI_ISL_824881,USA/WA-UW-48209/2020,2020-12-20,Human
EPI_ISL_508901,France/ARA-15126/2020,2020-03-27,Human
EPI_ISL_1003781,Switzerland/BE-ETHZ-470915/2021,2021-01-27,Human
EPI_ISL_1137066,USA/KS-KHEL-0349/2020,2020-12-31,Human
EPI_ISL_2223977,USA/TX-HMH-MCoV-40793/2020,2020-07-22,Human
EPI_ISL_1095158,USA/NY-CDC-2-3829908/2021,2021-01-13,Human
EPI_ISL_2389373,Germany/BE-RKI-I-166042/2021,2021-05-31,Human
EPI_ISL_790049,USA/TX-HMH-MCoV-11539/2020,2020-09-11,Human
EPI_ISL_2965337,USA/NY-PRL-2021_03_15_01C14/2021,2021-03-13,Human
