gisaid_epi_isl,strain,date,host
EPI_ISL_2928454,tiger/USA/VA-21-010728-003/2021,2021-04-09,Panthera tigris jacksoni
EPI_ISL_641444,mink/Denmark/mDK-51/2020,2020-10-02,Mink
EPI_ISL_2778797,USA/CA-CDPH-2000045325/2021,2021-04-18,Human
EPI_ISL_8479640,Indonesia/JI-GS-ITD-Cs53149N/2021,2021-12-21,Human
EPI_ISL_438165,USA/WA-S612/2020,2020-04-23,Human
EPI_ISL_531685,England/QEUH-962DFD/2020,2020-08-11,Human
EPI_ISL_5850336,tiger/USA/CA-21-022578-002/2021,2021-08-01,Panthera tigris sondaica
EPI_ISL_5075065,USA/TX-HMH-MCoV-43406/2020,2020-07-13,Human
EPI_ISL_1039212,mouse/Wuhan/LG/2020,2020-06-05,Mus musculus (BALB/c mice)
EPI_ISL_1169813,USA/CO-CDPHE-2100489365/2021,2021-02-23,Human
EPI_ISL_3730993,Italy/TAA-APSS-Ph2_RUN3_NB02/2020,2020-03-29,Human
EPI_ISL_683163,mink/Denmark/mDK-314/2020,2020-11-16,Mink
EPI_ISL_419912,Australia/VIC217/2020,2020-03-20,Human
EPI_ISL_1241270,Canada/QC-L00221502/2020,2020-03-15,Human
EPI_ISL_648536,USA/CA-CZB-12375/2020,2020-05-26,Human
EPI_ISL_462149,Russia/CRIE160583/2020,2020-03-30,Human
EPI_ISL_1938796,USA/WY-WYPHL20142747/11/18/2020,2020-11-18,Human
EPI_ISL_460364,USA/MA-MGH-00136/2020,2020-03-25,Human
EPI_ISL_6088044,lion/USA/CO-21-031946-009/2021,2021-10-14,Panthera leo
EPI_ISL_833533,Italy/CAM-TIGEM-924/2020,2020-05-04,Human
EPI_ISL_1270332,USA/PA-CDC-STM-000022249/2021,2021-02-22,Human
EPI_ISL_600559,Bangladesh/G-31/2020,2020-03-26,Human
EPI_ISL_3054218,France/PAC-IHU-16332-Nova1M/2021,2020-04-22,Human
EPI_ISL_5521457,USA/PA-BOL-M20162703/2020,2020-12-22,Human
EPI_ISL_1017869,USA/WY-WPHL-21005235/2021,2021-01-13,Human
EPI_ISL_1235031,USA/CA-CZB-25582/2021,2021-02-04,Human
EPI_ISL_979756,USA/CA-CZB-19162/2020,2020-12-07,Human
EPI_ISL_5071136,Colombia/DC-INS-HUMB-VG-7527/2021,2021-07-19,Human
EPI_ISL_1031712,USA/NC-CDC-LC0010876/2021,2021-01-26,Human
EPI_ISL_455248,Netherlands/NA_446/2020,2020-04-12,Human
EPI_ISL_5231681,USA/TX-CDC-ASC210178825/2021,2021-08-26,Human
EPI_ISL_1444978,USA/NY-UB-00828/2021,2021-02-08,Human
EPI_ISL_1093938,USA/CA-UCSF-JD143/2021,2021-01-25,Human
EPI_ISL_3046641,USA/RI-RKL_006_RISEQ-58_KD0060/2021,2021-02-10,Human
EPI_ISL_1270486,USA/IN-CDC-STM-000022750/2021,2021-02-23,Human
EPI_ISL_1463400,USA/NY-CDC-LC0031109/2021,2021-03-20,Human
EPI_ISL_4275117,Norway/2927/2020,2020-07-12,Human
EPI_ISL_436817,USA/MI-MDHHS-SC20143/2020,2020-03-16,Human
EPI_ISL_6332010,France/PAC-IHU-38081-Nova1M/2020,2020-04,Human
EPI_ISL_8376888,France/ARA-HCL121031708701/2021,2021-12-14,Human
EPI_ISL_683057,mink/Denmark/mDK-206/2020,2020-11-03,Mink
EPI_ISL_1237605,USA/TX-HMH-MCoV-27823/2021,2021-02-12,Human
EPI_ISL_2984767,Turkey/HSGM-B17226/2021,2021-06-16,Human
